ID,Route,Scheduled Launch Time,Actual Launch Time,Arrival Time,Distance Travelled (Km),Energy Consumed (KWh),Launching SOC,Arriving SOC
227,M79-SBS,0 days 09:28:00,0 days 09:28:00,0 days 10:48:00,16.257999999999864,29.914719999999658,0.9013,0.6876
317,M23-SBS,0 days 09:29:00,0 days 09:29:00,0 days 10:49:10,15.875999999999877,29.21183999999965,0.9038,0.6952
66,M14D-SBS,0 days 09:07:00,0 days 09:07:00,0 days 10:50:30,19.464999999999836,35.815600000000266,0.901,0.6452
305,M34A-SBS,0 days 09:50:00,0 days 09:50:00,0 days 10:50:50,11.07699999999995,20.381680000000028,0.9,0.7544
57,M14A-SBS,0 days 09:14:00,0 days 09:14:00,0 days 10:51:10,19.122999999999877,35.18631999999985,0.9,0.6487
357,M21,0 days 08:33:00,0 days 08:33:00,0 days 10:51:20,29.162999999999858,53.659919999999744,0.9,0.5167
185,M22,0 days 09:05:00,0 days 09:05:00,0 days 10:51:40,21.18399999999988,38.978559999999824,0.9,0.6216
365,M8,0 days 09:22:00,0 days 09:22:00,0 days 10:51:50,16.744999999999862,30.810799999999613,0.905,0.6849
247,M60-SBS,0 days 06:41:00,0 days 06:41:00,0 days 10:52:30,59.11999999999961,108.7808000000031,0.9,0.123
195,M86-SBS,0 days 10:16:00,0 days 10:16:00,0 days 10:53:50,8.978999999999921,16.52135999999978,0.9007,0.7827
228,M79-SBS,0 days 09:35:00,0 days 09:35:00,0 days 10:55:00,16.257999999999864,29.914719999999658,0.9013,0.6876
124,M42,0 days 10:09:00,0 days 10:09:00,0 days 10:55:10,7.94399999999994,14.61695999999985,0.9005,0.7961
281,M34-SBS,0 days 09:15:00,0 days 09:15:00,0 days 10:55:10,20.43599999999986,37.60223999999981,0.9,0.6314
67,M14D-SBS,0 days 09:12:00,0 days 09:12:00,0 days 10:55:30,19.464999999999836,35.815600000000266,0.901,0.6452
332,M66,0 days 09:52:00,0 days 09:52:00,0 days 10:57:30,12.791999999999891,23.537279999999715,0.9033,0.7351
12,M9,0 days 08:22:00,0 days 08:22:00,0 days 10:58:00,31.811999999999784,58.53407999999959,0.9,0.4819
138,M20,0 days 08:15:00,0 days 08:15:00,0 days 10:59:00,30.218999999999816,55.60295999999966,0.9,0.5028
318,M23-SBS,0 days 09:39:00,0 days 09:39:00,0 days 10:59:10,15.875999999999877,29.21183999999965,0.9038,0.6952
109,M50,0 days 09:38:00,0 days 09:38:00,0 days 10:59:50,15.877999999999872,29.21551999999967,0.9038,0.6951
414,M72,0 days 09:30:00,0 days 09:30:00,0 days 10:59:50,17.482999999999883,32.16871999999989,0.9,0.6702
58,M14A-SBS,0 days 09:24:00,0 days 09:24:00,0 days 11:01:10,19.122999999999877,35.18631999999985,0.9,0.6487
68,M14D-SBS,0 days 09:18:00,0 days 09:18:00,0 days 11:01:30,19.464999999999836,35.815600000000266,0.901,0.6452
196,M86-SBS,0 days 10:24:00,0 days 10:24:00,0 days 11:01:50,8.978999999999921,16.52135999999978,0.9007,0.7827
229,M79-SBS,0 days 09:42:00,0 days 09:42:00,0 days 11:02:00,16.257999999999864,29.914719999999658,0.9013,0.6876
396,M57,0 days 09:42:00,0 days 09:42:00,0 days 11:02:50,14.266999999999923,26.251279999999966,0.9,0.7125
306,M34A-SBS,0 days 10:02:00,0 days 10:02:00,0 days 11:02:50,11.07699999999995,20.381680000000028,0.9,0.7544
125,M42,0 days 10:17:00,0 days 10:17:00,0 days 11:03:10,7.94399999999994,14.61695999999985,0.9005,0.7961
248,M60-SBS,0 days 06:52:00,0 days 06:52:00,0 days 11:03:30,59.11999999999961,108.7808000000031,0.9,0.123
282,M34-SBS,0 days 09:25:00,0 days 09:25:00,0 days 11:05:10,20.43599999999986,37.60223999999981,0.9,0.6314
160,M55,0 days 09:10:00,0 days 09:10:00,0 days 11:05:30,19.893999999999878,36.604959999999835,0.9,0.6385
358,M21,0 days 08:48:00,0 days 08:48:00,0 days 11:06:20,29.162999999999858,53.659919999999744,0.9,0.5167
13,M9,0 days 08:32:00,0 days 08:32:00,0 days 11:08:00,31.811999999999784,58.53407999999959,0.9,0.4819
69,M14D-SBS,0 days 09:25:00,0 days 09:25:00,0 days 11:08:30,19.464999999999836,35.815600000000266,0.901,0.6452
197,M86-SBS,0 days 10:31:00,0 days 10:31:00,0 days 11:08:50,8.978999999999921,16.52135999999978,0.9007,0.7827
230,M79-SBS,0 days 09:49:00,0 days 09:49:00,0 days 11:09:00,16.257999999999864,29.914719999999658,0.9013,0.6876
168,M12,0 days 09:00:00,0 days 09:00:00,0 days 11:09:00,26.643999999999814,49.02495999999968,0.9,0.5498
319,M23-SBS,0 days 09:49:00,0 days 09:49:00,0 days 11:09:10,15.875999999999877,29.21183999999965,0.9038,0.6952
333,M66,0 days 10:04:00,0 days 10:04:00,0 days 11:09:30,12.791999999999891,23.537279999999715,0.9033,0.7351
126,M42,0 days 10:25:00,0 days 10:25:00,0 days 11:11:10,7.94399999999994,14.61695999999985,0.9005,0.7961
59,M14A-SBS,0 days 09:34:00,0 days 09:34:00,0 days 11:11:10,19.122999999999877,35.18631999999985,0.9,0.6487
249,M60-SBS,0 days 07:00:00,0 days 07:00:00,0 days 11:11:30,59.11999999999961,108.7808000000031,0.9,0.123
186,M22,0 days 09:25:00,0 days 09:25:00,0 days 11:11:40,21.18399999999988,38.978559999999824,0.9,0.6216
366,M8,0 days 09:42:00,0 days 09:42:00,0 days 11:11:50,16.744999999999862,30.810799999999613,0.905,0.6849
415,M72,0 days 09:45:00,0 days 09:45:00,0 days 11:14:50,17.482999999999883,32.16871999999989,0.9,0.6702
307,M34A-SBS,0 days 10:14:00,0 days 10:14:00,0 days 11:14:50,11.07699999999995,20.381680000000028,0.9,0.7544
283,M34-SBS,0 days 09:35:00,0 days 09:35:00,0 days 11:15:10,20.43599999999986,37.60223999999981,0.9,0.6314
70,M14D-SBS,0 days 09:32:00,0 days 09:32:00,0 days 11:15:30,19.464999999999836,35.815600000000266,0.901,0.6452
