,HYLAN BL/ALLENDALE RD,TOMPKINS AV/ST MARYS AV,HYLAN BL/LITTLEFIELD AV,MAIN ST/AMBOY RD,VAN DUZER ST/BEACH ST,BEACH ST/UNION PL,HYLAN BL/MIDLAND AV,HYLAN BL/ARDEN AV,ST GEORGE FERRY/ST GEORGE FERRY,HYLAN BL/BUFFALO ST,HYLAN BL/W FINGERBOARD RD,HYLAN BL/BIONIA AV,STEUBEN ST/NARROWS RD S,AMBOY RD/MAIN ST,HYLAN BL/SEAVER AV,HYLAN BL/BURBANK AV,HYLAN BL/BAY TER,VAN DUZER ST/BALTIC ST,ST PAULS AV/CEBRA AV,ST PAULS AV/VAN DUZER ST,TOMPKINS AV/HILL ST,ARTHUR KILL RD/BARNARD AV,VICTORY BL/BAY ST,HYLAN BL/MONTREAL AV,MAIN ST/HYLAN BL,HYLAN BL/BENTON AV,ST GEORGE FERRY TERMINAL,HYLAN BL/CRAIG AV,HYLAN BL/ADAMS AV,OLGA PL/HYLAN BL,HYLAN BL/LINWOOD AV,BAY ST/HANNAH ST,HYLAN BL/HUGUENOT AV,CLOVE RD/ELBE AV,HYLAN BL/GOODALL ST,HYLAN BL/REDGRAVE AV,HYLAN BL/QUINTARD ST,HYLAN BL/OLD TOWN RD,HYLAN BL/PARKINSON AV,HYLAN BL/CANNON BL,HYLAN BL/SAND LA,HYLAN BL/CURRIE AV,HYLAN BL/LINCOLN AV,BAY ST/BOROUGH PL,HYLAN BL/KENNY RD,CLOVE RD/BRITTON AV,ARTHUR KILL RD/ALLENTOWN LA,HYLAN BL/EBBITTS ST,HYLAN BL/HALES AV,HYLAN BL/STERLING AV,HYLAN BL/GREAT KILLS RD,HYLAN BL/FINGERBOARD RD,HYLAN BL/OAK AV,HYLAN BL/JACQUES AV,HYLAN BL/PIEDMONT AV,HYLAN BL/BARCLAY AV,TOMPKINS AV/BROAD ST,BAY ST/SLOSSON TER,CLOVE RD/RHINE AV,BRICKTOWN SHOPPING CENTER,ARTHUR KILL RD/YETMAN AV,HYLAN BL/TOMPKINS AV,HYLAN BL/CUNNINGHAM RD,AMBOY RD/CARTERET ST,SAND LA/HYLAN BL,HYLAN BL/HILLSIDE TER,HYLAN BL/OTIS AV,HYLAN BL/ROSE AV,HYLAN BL / NARROWS RD S,NEW DORP LA/MILL RD,HYLAN BL/WINCHESTER AV,MAIN ST/CRAIG AV,HYLAN BL/BEACH AV,HYLAN BL/SPRAGUE AV,ARTHUR KILL RD/S BRIDGE ST,HYLAN BL/BROOK AV,MIDLAND AV/BOUNDARY AV,HYLAN BL/GUYON AV,HYLAN BL/REID AV,HYLAN BL/NORWAY AV,HYLAN BL/FIELDWAY AV,HYLAN BL/WOODS OF ARDEN RD,HYLAN BL/BURGHER AV,HYLAN BL/BRIGHTON ST,HYLAN BL/HOLDRIDGE AV,HYLAN BL/SPRATT AV,HYLAN BL/BAY VIEW AV,HYLAN BL/DELAWARE AV,HYLAN BL/NELSON AV,BEACH ST/VAN DUZER ST,HYLAN BL/DONLEY AV,HYLAN BL/INEZ ST,HYLAN BL/RICHMOND AV,CANAL ST/WRIGHT ST,HYLAN BL/CROMWELL AV,TOMPKINS AV/TOWNSEND AV,CLOVE RD/GRASMERE STATION,HYLAN BL/DOLE ST,HYLAN BL/JUSTIN AV,HYLAN BL/WOODVALE AV,HYLAN BL/LIBERTY AV,ARTHUR KILL RD/FISHER AV,TOMPKINS AV/VANDERBILT AV,HYLAN BL/STEUBEN ST,LUTEN AV/EYLANDT ST,BAY ST/NICK LAPORTE PL,VAN DUZER ST/GRANT ST,HYLAN BL/CHAMPLAIN AV,ARTHUR KILL RD/WOOD AV,CLOVE RD/TARGEE ST,HYLAN BL/VAUGHN ST,HYLAN BL/TYSENS LA,HYLAN BL/KRAMER ST,HYLAN BL/ARMSTRONG AV,HYLAN BL/RENO AV,HYLAN BL/YETMAN AV,TOMPKINS AV/SAINT MARYS AV,HYLAN BL/ROSS AV,HYLAN BL/NAUGHTON AV,ST PAULS AV/PAXTON ST,MILFORD DR/OCEAN TER,HYLAN BL/LUTEN AV,HYLAN BL/COOPER AV,ARTHUR KILL RD/NASSAU PL,CANAL ST/CANAL ST,HYLAN BL/WENDY DR,HYLAN BL/BANCROFT AV,HYLAN BL/SHARROTT AV,EYLANDT ST/LUTEN AV,HYLAN BL/CHELSEA ST,HYLAN BL/CONNECTICUT AV,HYLAN BL/CORNELIA AV,HYLAN BL/CLOVE RD,HYLAN BL/BUEL AV,HYLAN BL/BEDELL AV,HYLAN BL/JOLINE AV,CLOVE RD/MILFORD DR,CRAIG AV/AMBOY RD,CLOVE RD/W FINGERBOARD RD,HYLAN BL/BAY TERRACE,HYLAN BL/SEGUINE AV,BRICKTOWN SHOPPING/CENTER,HYLAN BL/ELMTREE AV,OLGA PL/POUCH TER,ST PAULS AV/SWAN ST,HYLAN BL/BAYVIEW AV,HYLAN BL/EVERGREEN AV,BAY ST/VICTORY BL,CLOVE RD/NECKAR AV,HYLAN BL/CHESTERTON AV,HYLAN BL/NEW DORP LA,HYLAN BL/CARTERET ST,HYLAN BL/HAMDEN AV,HYLAN BL/KEEGANS LA,HYLAN BL/OSBORNE AV,HYLAN BL/ARBUTUS AV,ARTHUR KILL RD/RICHMOND VALLEY RD,HYLAN BL/POILLON AV,HYLAN BL/RICHARD AV,ARTHUR KILL RD/MAIN ST,HYLAN BL/LAMPORT BL,TOMPKINS AV/CHESTNUT AV,HYLAN BL/REYNOLDS ST,HYLAN BL/SEAVIEW AV,HYLAN BL/JEFFERSON AV,BAY ST/CENTRAL AV,HYLAN BL/LINDBERGH AV,HYLAN BL/PACIFIC AV,HYLAN BL/PAGE AV,HYLAN BL/LIPSETT AV,Charleston Depot (CH)
CLOVE RD/W FINGERBOARD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAY TERRACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEGUINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.414 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,1.336 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICKTOWN SHOPPING/CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/ELMTREE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLGA PL/POUCH TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.774 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST PAULS AV/SWAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAYVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.416 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/EVERGREEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/VICTORY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOVE RD/NECKAR AV,,,,,,,,,,,1.751 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHESTERTON AV,,,,,,,,,,,,,,,,,,,,,,,,0.157 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/NEW DORP LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CARTERET ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/HAMDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/KEEGANS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/OSBORNE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.259 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/ARBUTUS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.242 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,0.192 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/RICHMOND VALLEY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,
HYLAN BL/POILLON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.615 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RICHARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.505 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.521 BRICKTOWN MALL via HYLAN,,
ARTHUR KILL RD/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LAMPORT BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/CHESTNUT AV,,0.192 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/REYNOLDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.595 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.139 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/JEFFERSON AV,,,,,,,,,,,,,,,0.803 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,0.131 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/CENTRAL AV,,,,,,,,,,,,,,,,,,,,,,,0.153 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/LINDBERGH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.398 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/PACIFIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/PAGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,0.517 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,
HYLAN BL/LIPSETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,0.0 BRICKTOWN MALL via HYLAN,
Charleston Depot (CH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
