,BAYCHESTER AV/N.E. THRUWAY EXIT,BRUCKNER BL/HAVEMEYER AV,BRUCKNER BL/MIDDLETOWN RD,STORY AV/SOUNDVIEW AV,PARKING RAMP/ACCESS RD,BRUCKNER BL/BUHRE AV,BRUCKNER BL/LOGAN AV,STORY AV/BOYNTON AV,WHITE PLAINS RD/STORY AV,"BRUCKNER BL/ST JOSEPH""S WAY",TURNBULL AV/ PUGSLEY AV,STORY AV/NOBLE AV,STORY AV/BRONX RIVER AV,BAY PLAZA BL/CO-OP CITY BL,CASTLE HILL AV/HERMANY AV,CASTLE HILL AV/TURNBULL AV,BRUCKNER BL/GIFFORD AV,STORY AV/METCALF AV,LAFAYETTE AV/OLMSTEAD AV,SOUTHERN BL/WESTCHESTER AV,BRUCKNER BL/KEARNEY AV,STORY AV/THIERIOT AV,CASTLE HILL AV/QUIMBY AV,SOUTHERN BL/ALDUS ST,MACDONOUGH PL/COUNTRY CLUB RD,BRUCKNER BL/WILKINSON AV,BRUCKNER BL/CASTLE HILL AV,CASTLE HILL AV/BRUCKNER BL,HUNTS POINT AV/SOUTHERN BL,BRONX RIVER AV/BRUCKNER BL,WESTCHESTER AV/BRUCKNER BL,BRUCKNER BL/ROBERTS AV,BRUCKNER BL/CODDINGTON AV,BRUCKNER BL/BAISLEY AV,STORY AV/ROSEDALE AV,EDSON AV/BARTOW AV,STORY AV/FTELEY AV,BRUCKNER BL/E TREMONT AV,STORY AV/COLGATE AV,BRUCKNER BL/ZEREGA AV,BRUCKNER BL/CROSBY AV,BRUCKNER BL/HUNTINGTON AV,BRUCKNER BL/JARVIS AV,STORY AV/MORRISON AV,E 163 ST/SOUTHERN BL,WHITE PLAINS RD/LAFAYETTE AV,STORY AV/ELDER AV,LAFAYETTE AV/WHITE PLAINS RD,LAFAYETTE AV/PUGSLEY AV,STORY AV/UNDERHILL AV,CHARLES CRIMI RD/SUBWAY OVERPASS,STORY AV/BOLTON AV,BRUCKNER BL/WILLOW LA,STORY AV/TAYLOR AV,STORY AV/EVERGREEN AV,West Farms Depot (WF)
BRUCKNER BL/CROSBY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,
BRUCKNER BL/HUNTINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,
BRUCKNER BL/JARVIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/MORRISON AV,,,,,,,,0.3 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,0.22 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 163 ST/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,0.992 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHITE PLAINS RD/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,
STORY AV/ELDER AV,,,,,,,,0.097 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/WHITE PLAINS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.433 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,
LAFAYETTE AV/PUGSLEY AV,,,,,,,,,,,,,,,,,,,0.268 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,
STORY AV/UNDERHILL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 WEST FARMS RD SOUTHRN BL via BRCKNR,,
CHARLES CRIMI RD/SUBWAY OVERPASS,1.725 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/BOLTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,
BRUCKNER BL/WILLOW LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,
STORY AV/TAYLOR AV,,,,,,,,,,,,,,,,,,,,,,0.11 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,0.293 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,
STORY AV/EVERGREEN AV,,,,,,,,,,,,,0.259 WEST FARMS RD SOUTHRN BL via BRCKNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,2.163 BAY PLAZA via STORY AV via BRUCKNER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
