,FULTON ST/CLERMONT AV,FULTON ST/GREENE AV,FULTON ST/TOMPKINS AV,FULTON ST/HOWARD AV,FULTON ST/SCHENECTADY AV,FULTON ST/BEDFORD AV,FULTON ST/VANDERBILT AV,FULTON ST/NEW YORK AV,FULTON ST/KINGSTON AV,FULTON ST/GRAND  AV,FULTON ST/BUFFALO AV,FULTON ST/SACKMAN ST,CADMAN PZ W/JOHNSON ST,FRONT ST/YORK ST,CADMAN PLZ W/MONTAGUE ST,OLD FULTON ST/HENRY ST,CADMAN PZ W/CLARK ST,FULTON ST/MALCOLM X BL,FULTON ST/JAY ST,FULTON ST/SARATOGA AV,FULTON ST/ALBANY AV,FULTON ST/FRANKLIN AV,FULTON ST/MARCUS GARVEY BL,FULTON ST/EASTERN PY,FULTON ST/BROOKLYN AV,FULTON ST/GRAND AV,FULTON ST/LEWIS AV,FULTON ST/SMITH ST,OLD FULTON ST/HICKS ST,FULTON ST/TROY AV,EAST NEW YORK AV/ALABAMA AV,OLD FULTON ST/PROSPECT ST,FULTON ST/MAC DOUGAL ST,TILLARY ST/CADMAN PZ E,FULTON ST/ROCKWELL PL,WATER ST/MAIN ST,FULTON ST/CARLTON AV,FULTON ST/FLATBUSH AV EXT,FULTON ST/NOSTRAND AV,FULTON ST/S ELLIOTT PL,OLD FULTON ST/ELIZABETH PL,ADAMS ST/BKLYN SUPREME CRT,FULTON ST/FT GREENE PL,FULTON ST/ROCKAWAY AV,FULTON ST/MARCY AV,FULTON ST/CLASSON AV,FULTON ST/RALPH AV,ALABAMA AV / FULTON ST,CADMAN PZ W/MIDDAGH ST,FULTON ST/ADELPHI ST,FULTON ST/HUDSON AV,CADMAN PLZ W/CRANBERRY ST,FULTON ST/S PORTLAND AV,FULTON ST/ST JAMES PL,FULTON ST/STUYVESANT AV,FULTON ST/CLINTON AV,JORALEMON ST/COURT ST,CADMAN PZ W/TILLARY ST,FULTON ST/UTICA AV,FULTON ST/LAFAYETTE AV,FULTON ST/BOND ST,FULTON ST/DUFFIELD ST,CADMAN PLZ W/CADMAN TOWER,FULTON ST/HOYT ST,FRONT ST / YORK ST,FULTON ST/VAN SINDEREN AV,FULTON ST/WASHINGTON AV,FULTON ST/THOMAS S BOYLAND ST,Jackie Gleason Depot (JG)
CADMAN PZ W/MIDDAGH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 BROADWAY JCT ALABAMA AV via FULTON,,,,,,
FULTON ST/ADELPHI ST,,0.281 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/HUDSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.373 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,
CADMAN PLZ W/CRANBERRY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/S PORTLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.459 to depot of B25
FULTON ST/ST JAMES PL,,,,,,,,,,0.179 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/STUYVESANT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/CLINTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185 BROADWAY JCT ALABAMA AV via FULTON,,
JORALEMON ST/COURT ST,,,,,,,,,,,,,,,0.646 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADMAN PZ W/TILLARY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,
FULTON ST/UTICA AV,,,,,,,,,,,0.341 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,
FULTON ST/BOND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,1.209 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,
FULTON ST/DUFFIELD ST,,,,,,,,,,,,,,,,,,,0.438 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CADMAN PLZ W/CADMAN TOWER,,,,,,,,,,,,,,,,,0.178 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/HOYT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.063 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,
FRONT ST / YORK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/VAN SINDEREN AV,,,,,,,,,,,,0.225 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,0.339 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FULTON ST/WASHINGTON AV,,,,,,,0.28 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,
FULTON ST/THOMAS S BOYLAND ST,,,,,,,,,,,,,,,,,,,,0.234 DOWNTOWN BKLYN FRONT ST via FULTON,,,,,,,,,,,,,,,,,,,,,,,,0.235 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.956 BROADWAY JCT ALABAMA AV via FULTON,,,,,,,,,,,,,,,,
