,HILLSIDE AV/171 ST,HILLSIDE AV/212 ST,HILLSIDE AV/211 ST,HILLSIDE AV/207 ST,SUTPHIN BL/89 AV,HILLSIDE AV/175 ST,HILLSIDE AV/191 ST,HILLSIDE AV/248 ST,HILLSIDE AV/161 ST,HILLSIDE AV/205 ST,HILLSIDE AV/239 ST,HILLSIDE AV/202 ST,HILLSIDE AV/SPRINGFIELD BL,HILLSIDE AV/FRANCIS LEWIS BL,HILLSIDE AV/198 ST,SUTPHIN BL/JAMAICA AV,HILLSIDE AV/268 ST,HILLSIDE AV/165 ST,HILLSIDE AV/258 ST,HILLSIDE AV/172 ST,HILLSIDE AV/CREEDMOORE HOSPITAL,SUTPHIN BL/90 AV,HILLSIDE AV/193 ST,HILLSIDE AV/EDGERTON BL,HILLSIDE AV/261 ST,HILLSIDE AV/266 ST,HILLSIDE AV/162 ST,HILLSIDE AV/164 ST,HILLSIDE AV/168 ST,HILLSIDE AV/88 AV,HILLSIDE AV/150 ST,HILLSIDE AV/264 ST,HILLSIDE AV/PARSONS BL,ARCHER AV/SUTPHIN BL,HILLSIDE AV/169 ST,HILLSIDE AV/243 ST,HILLSIDE AV/214 ST,HILLSIDE AV/187 ST,HILLSIDE AV/267 ST,HILLSIDE AV/199 ST,HILLSIDE AV/RANGE ST,HILLSIDE AV/MANOR RD,HILLSIDE AV/163 ST,HILLSIDE AV/CROSS ISLAND PY,HILLSIDE AV/184 ST,HILLSIDE AV/180 ST,HILLSIDE AV/231 ST,HILLSIDE AV/251 ST,HILLSIDE AV/179 ST SUBWAY,ARCHER AV/SUTPHIN PL,HILLSIDE AV/259 ST,HILLSIDE AV/188 ST,HILLSIDE AV/241 ST,HILLSIDE AV/CREEDMORE HOSPITAL,HILLSIDE AV/210 ST,HILLSIDE AV/189 ST,HILLSIDE AV/WINCHESTER BL,SUTPHIN BL/HILLSIDE AV,HILLSIDE AV/182 PL,HILLSIDE AV/215 PL,HILLSIDE AV/COMMONWEALTH BL,HILLSIDE AV/240 ST,HILLSIDE AV/209 ST,HILLSIDE AV/256 ST,HILLSIDE AV/AVON ST,HILLSIDE AV/195 PL,HILLSIDE AV/166 ST,HILLSIDE AV/229 ST,HILLSIDE AV/218 ST,HILLSIDE AV/LITTLE NECK PY,College Point Depot (CP)
HILLSIDE AV/210 ST,,0.275 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/189 ST,,,,,,,0.152 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/WINCHESTER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 FLORAL PARK 268 ST via HILLSIDE,,,,,,1.082 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,
SUTPHIN BL/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,0.281 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,0.292 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.505 to depot of Q43
HILLSIDE AV/182 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/215 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.531 FLORAL PARK 268 ST via HILLSIDE,,
HILLSIDE AV/COMMONWEALTH BL,,,,,,,,0.182 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/240 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,
HILLSIDE AV/209 ST,,,,,,,,,,,,,,0.407 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/256 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/AVON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/195 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.365 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/166 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/229 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/218 ST,,,,,,,,,,,,,0.339 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,
HILLSIDE AV/LITTLE NECK PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.379 JAMAICA LIRR STATION via HILLSIDE,,,,,,,,,,,,,,,,7.767 FLORAL PARK 268 ST via HILLSIDE,,,,,,,
College Point Depot (CP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.437 FLORAL PARK 268 ST via HILLSIDE,,,,,,,,,,,,,
