,FOREST AV/SHARON AV,FOREST AV/GRANDVIEW AV,VICTORY BL/AUSTIN PL,FOREST AV/AMITY PL,ARLINGTON PL/SOUTH AV,RICHMOND TER/FEDERAL PL,FOREST AV/HAVEN ESPLANADE,FOREST AV/JEWETT AV,FOREST AV/HARBOR PLAZA,FOREST AV/VICTORY BL,FOREST AV/LIVERMORE AV,FOREST AV/BARD  AV,SOUTH AV/CABLE WAY,SOUTH AV/RICHMOND TER,VICTORY BL / BAY ST,FOREST AV/ELIZABETH ST,FOREST AV/HAMLIN PL,FOREST AV/SANDERS ST,FOREST AV/RAYMOND PL,FOREST AV/SILVER LAKE PK,ARLINGTON PL/HOLLAND AV,FOREST AV/CLOVE RD,VICTORY BL/ BROOK ST,VICTORY BL/FREMONT ST,ST GEORGE FERRY/S48 & S98,ARLINGTON PL/NORTHFIELD AV,FOREST AV/RICHMOND AV,VICTORY BL/VAN DUZER ST,FOREST AV/BARRETT  AV,SOUTH AV/ARLINGTON PL,SOUTH AV/NETHERLAND AV,HOLLAND AV/BENJAMIN PL,FOREST AV/DECKER AV,FOREST AV/WILLOW RD W,VICTORY BL/WOODSTOCK AV,FOREST AV/VAN PELT AV,BAY ST/CENTRAL AV,FOREST AV/BURNSIDE AV,FOREST AV/CRYSTAL AV,VICTORY BL/CEBRA AV,FOREST AV/BEMENT AV,FOREST AV/HARBOR RD,VICTORY BL/JERSEY ST,FOREST AV/WALBROOKE AV,RICHMOND TER/ARLINGTON AV,FOREST AV/BRIGHTON AV,FOREST AV/WILLOW RD E,FOREST AV/BROADWAY,FOREST AV / LAWRENCE AV,FOREST AV/UNIVERSITY PL,FOREST AV/OXFORD PL,FOREST AV/WILLOWBROOK RD,ST GEORGE FERRY/ST GEORGE FERRY,FOREST AV/STAPLES,VICTORY BL/MONTGOMERY AV,FOREST AV/HART BL,FOREST AV/MANOR RD,FOREST AV/DUBOIS AV,FOREST AV/BARD AV,FOREST AV/SOUTH AV,FOREST AV/N BURGHER AV,FOREST AV/MARIANNE ST,FOREST AV/UNION AV,FOREST AV/PELTON AV,FOREST AV/SIMONSON AV,SOUTH AV/BRABANT ST,FOREST AV/MAPLE PY,FOREST AV/EUNICE PL,BAY ST/SLOSSON TE,FOREST AV/RANDALL AV,BAY ST/BOROUGH PL,BAY ST/NICK LAPORTE PL,Yukon Depot (YU)
FOREST AV/SOUTH AV,,,,,,,,,0.877 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,0.187 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/N BURGHER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 ST GEORGE FERRY via FOREST,,,,,,,0.242 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/MARIANNE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.161 to depot of S48
FOREST AV/UNION AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/PELTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.196 ARLINGTON HOLLAND AV via FOREST,,,,,,,,0.134 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/SIMONSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AV/BRABANT ST,,,,,0.41 ARLINGTON HOLLAND AV via FOREST,,,,,,,,0.232 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/MAPLE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 ST GEORGE FERRY via FOREST,,,,,
FOREST AV/EUNICE PL,,,,,,,,,,,,,,,,,,0.108 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/SLOSSON TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 ST GEORGE FERRY via FOREST,,
FOREST AV/RANDALL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392 ST GEORGE FERRY via FOREST,,,,,,,,,,,,,,,,,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.748 ARLINGTON HOLLAND AV via FOREST,,,,,,,,,,,
