,HALSEY ST/HOWARD AV,FULTON ST/ADELPHI ST,CADMAN PLZ W/MONTAGUE ST,JAY ST/TILLARY ST,JORALEMON ST/COURT ST,FULTON ST/GREENE AV,FULTON ST/S ELLIOTT PL,FULTON ST/CLINTON AV,FULTON ST/WASHINGTON AV,WYCKOFF AV / PALMETTO ST,WYCKOFF AV/MADISON ST,HALSEY ST/KNICKERBOCKER AV,HALSEY ST/EVERGREEN AV,WYCKOFF ST/PALMETTO ST,HALSEY ST/IRVING AV,HALSEY ST/THROOP AV,FULTON ST/JAY ST,HALSEY ST/RALPH AV,FULTON ST/LAFAYETTE AV,FULTON ST/VANDERBILT AV,HALSEY ST/SARATOGA AV,FULTON ST/HOYT ST,FULTON ST/ROCKWELL PL,HALSEY ST/BEDFORD AV,TILLARY ST/ADAMS ST,FULTON ST/CLERMONT AV,FULTON ST/CARLTON AV,PUTNAM AV/NOSTRAND AV,WYCKOFF AV/WEIRFIELD ST,PUTNAM AV/FRANKLIN AV,PUTNAM AV/CLASSON AV,FULTON ST/HUDSON AV,FULTON ST/GRAND  AV,PUTNAM AV/BEDFORD AV,HALSEY ST/MALCOLM X BL,FULTON ST/DUFFIELD ST,FULTON ST/GRAND AV,FULTON ST/FT GREENE PL,HALSEY ST/PATCHEN AV,WYCKOFF AV/JEFFERSON AV,HALSEY ST/STUYVESANT AV,JAY ST/WILLOUGHBY ST,FULTON ST/BOND ST,HALSEY ST/MARCUS GARVEY BL,HALSEY ST/TOMPKINS AV,FULTON ST/ST JAMES PL,HALSEY ST/MARCY AV,FULTON ST/S PORTLAND AV,HALSEY ST/WYCKOFF AV,HALSEY ST/LEWIS AV,HALSEY ST/WILSON AV,HALSEY ST/CENTRAL AV,CADMAN PZ W/TILLARY ST,HALSEY ST/NOSTRAND AV,HALSEY ST/BROADWAY,HALSEY ST/BUSHWICK AV,Jackie Gleason Depot (JG)
WYCKOFF AV/MADISON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,
HALSEY ST/KNICKERBOCKER AV,,,,,,,,,,,,,,,0.219 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,
HALSEY ST/EVERGREEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 RIDGEWOOD TERM via HALSEY,,,,0.204 DOWNTOWN BKLYN TILLARY ST via HALSEY,
WYCKOFF ST/PALMETTO ST,,,,,,,,,,,0.106 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/IRVING AV,,,,,,,,,,,,0.219 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 RIDGEWOOD TERM via HALSEY,,,,,,,,
HALSEY ST/THROOP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558 RIDGEWOOD TERM via HALSEY,0.241 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,
FULTON ST/JAY ST,,,,,0.553 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/RALPH AV,0.226 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,
FULTON ST/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 RIDGEWOOD TERM via HALSEY,,,,,,,,,
FULTON ST/VANDERBILT AV,,0.207 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALSEY ST/SARATOGA AV,0.236 DOWNTOWN BKLYN TILLARY ST via HALSEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 RIDGEWOOD TERM via HALSEY,,
FULTON ST/HOYT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.063 RIDGEWOOD TERM via HALSEY,,,,,,,,,,,,,,
