,BAY ST/SLOSSON TE,WEST SHORE PLAZA/CHELSEA ST,CASTLETON AV/CONYINGHAM AV,CASTLETON AV/RANDALL AV,NICHOLAS AV/CHARLES AV,BAY ST/NICK LAPORTE PL,CASTLETON AV/KISSEL AV,VICTORY BL/BROOK ST,BAY ST/BOROUGH PL,CASTLETON AV/BARD AV,DE RUYTER PL/VAN PELT AV,SOUTH AV/CABLE WAY,UNION AV/BRABANT ST,CASTLETON AV/JEWETT AV,CASTLETON AV/SHARPE AV,WALKER ST/VAN PELT AV,CASTLETON AV/OAKLAND AV,VICTORY BL/JERSEY ST,CASTLETON AV/CLOVE RD,INNIS ST/JOHN ST,CASTLETON AV/CEBRA AV,MORNINGSTAR RD/INNIS ST,CASTLETON AV/CAROLINE ST,SOUTH AV/GOETHALS RD N,CASTLETON AV/ELIZABETH ST,MORNINGSTAR RD/KALVER PL,WALLOON ST/MAPLE PY,CASTLETON AV/HAVENWOOD RD,NICHOLAS AV/CASTLETON AV,BRABANT ST/LOCKMAN AV,CASTLETON AV/BARKER ST,SOUTH AV/TRAVIS AV,TELEPORT DR/SOUTH AV #1,GRANDVIEW AV/BRABANT ST,VICTORY BL/VAN DUZER ST,MAPLE PY/WALLOON ST,CASTLETON AV/BEMENT AV,CASTLETON AV/DAVIS AV,WALKER ST/SIMONSON AV,WALKER ST/PULASKI AV,BRABANT ST/GRANDVIEW AV,WALKER ST/VAN NAME AV,CASTLETON AV/TAYLOR ST,VICTORY BL / BAY ST,SOUTH AV/HILTON HOTEL,CASTLETON AV/WEBSTER AV,SOUTH AV/OPP 1000 SOUTH AV,SOUTH AV/1000 SOUTH AV,VICTORY BL/FREMONT ST,ST GEORGE FERRY/S46 & S96,BAY ST/CENTRAL AV,TELEPORT DR/SOUTH AV #2,INNIS ST/EATON PL,CASTLETON AV/GLEN AV,BRABANT ST/UNION AV,SOUTH AV/AMADOR ST,ST GEORGE FERRY/ST GEORGE FERRY,CASTLETON AV/BRIGHTON AV,CASTLETON AV/HAVEN ESPLANADE,VICTORY BL/MONTGOMERY AV,CASTLETON AV/PORT RICHMOND AV,LINDEN AV/VAN PELT AV,SOUTH AV/TELEPORT DR,CASTLETON AV/TREADWELL AV,INNIS ST/NICHOLAS AV,GRANDVIEW AV/CONTINENTAL PL,CASTLETON AV/HEBERTON AV,GRANDVIEW AV/FOREST AV,CASTLETON AV/N BURGHER AV,TELEPORT DR/CORP COMMONS BLDG,CASTLETON AV/HARBOR VIEW CT,WALKER ST/MORNINGSTAR RD,VICTORY BL/ BROOK ST,SOUTH AV/FOREST AV,CASTLETON AV/N RANDALL AV,CASTLETON AV/WOODSTOCK AV,SOUTH AV/1200 SOUTH AV,VICTORY BL/CEBRA AV,INNIS ST/ST JOSEPH AV,CASTLETON AV/HUNTER PL,CASTLETON AV/NICHOLAS AV,CASTLETON AV/BROADWAY,Yukon Depot (YU)
WALKER ST/SIMONSON AV,,,,,,,,,,,,,,,,0.255 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,
WALKER ST/PULASKI AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRABANT ST/GRANDVIEW AV,,,,,,,,,,,,0.324 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALKER ST/VAN NAME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/TAYLOR ST,,,,,,,,,,,,,,,,,,,0.245 WEST SHORE PLZ via CASTLETON,,,,,,0.206 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL / BAY ST,0.431 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AV/HILTON HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.083 WEST SHORE PLZ via CASTLETON,,,,,,
CASTLETON AV/WEBSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 ST GEORGE FERRY via CASTLETON,,,,,
SOUTH AV/OPP 1000 SOUTH AV,,,,,,,,,,,,,,,,,,,,,,,,1.108 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AV/1000 SOUTH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.618 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VICTORY BL/FREMONT ST,,,,,,,,,,,,,,,,,,0.28 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/S46 & S96,,,,,,0.277 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/CENTRAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEPORT DR/SOUTH AV #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.497 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,
INNIS ST/EATON PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASTLETON AV/GLEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,
BRABANT ST/UNION AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.248 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AV/AMADOR ST,,,,,,,,,,,,,,,,,,,,,,,,0.694 WEST SHORE PLZ via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075 ST GEORGE FERRY via CASTLETON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
