,RICHMOND TER/POST LA,RICHMOND TER/HARBOR RD,GOETHALS RD N/MOBILE HOME PARK ROW A,RICHMOND TER/JOHN ST,CHELSEA RD/BLOOMFIELD AV,RICHMOND TER/NICHOLAS AV,FRANK W. GAY BL/10 AV,ST GEORGE FERRY /ST GEORGE FERRY,RICHMOND TER/BODINE ST,RICHMOND TER/TOMPKINS CT,SOUTH AV/NETHERLAND AV,RICHMOND TER/FABER ST,RICHMOND TER/STUYVESANT PL,FOREST AV/ELIZABETH GROVE RD,FOREST AV/GOETHALS RD N,RICHMOND TER/LAKE AV,RICHMOND TER/GRANITE AV,FOREST AV/UA THEATERS,SOUTH AV/RICHMOND TER,RICHMOND TER/ST PETERS PL,RICHMOND TER/LAFAYETTE AV,RICHMOND TER/HOUSEMAN AV,FOREST AV / HOME DEPOT,RICHMOND TER/TAYLOR ST,RICHMOND TER/FRANKLIN AV,RICHMOND TER/SIMONSON AV,RICHMOND TER/BARD AV,SOUTH AV/ARLINGTON PL,FOREST AV/SOUTH AV,ST GEORGE FERRY/S40 & S90,RICHMOND TER/ANDROS AV,RICHMOND TER/JEWETT AV,RICHMOND TER/NORTH ST,RICHMOND TER/SCHUYLER ST,RICHMOND TER/CLOVE RD,RICHMOND TER/JERSEY ST,RICHMOND TER/BEMENT AV,RICHMOND TER/BROADWAY,RICHMOND TER/WESTERVELT AV,SOUTH AV/BRABANT ST,FRANK W. GAY BL/CHELSEA RD,RICHMOND TER/SHARPE AV,RICHMOND TER/SNUG HARBOR RD 2,RICHMOND TER/NICHOLAS ST,FOREST AV/LILAC CT,RICHMOND TER/SOUTH AV,GOETHALS RD N/ADMIN PARKING LOT,RICHMOND TER/MORNINGSTAR RD,RICHMOND TER/VAN PELT AV,RICHMOND TER/RECTOR ST,RICHMOND TER/SAILORS S H GATE,RICHMOND TER/ST GEORGE FERRY,RICHMOND TER/HEBERTON AV,RICHMOND TER/N BURGHER AV,RICHMOND TER/GRANDVIEW AV,SOUTH AV/CABLE WAY,RICHMOND TER/MAPLE AV,RICHMOND TER/DAVIS AV,RICHMOND TER/UNION AV,RICHMOND TER/SNUG HARBOR RD,RICHMOND TER/PARK AV,RICHMOND TER/ALASKA ST,RICHMOND TER/VAN NAME AV,RICHMOND TER/CLINTON AV,RICHMOND TER/WALL ST,Yukon Depot (YU)
RICHMOND TER/BEMENT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,0.384 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,
RICHMOND TER/BROADWAY,,,,,,,,,,0.268 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,
RICHMOND TER/WESTERVELT AV,,,,,,,,,,,,,,,,,,,,0.856 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,0.891 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH AV/BRABANT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,
FRANK W. GAY BL/CHELSEA RD,,,,,0.948 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/SHARPE AV,,,,,,0.254 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,0.132 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/SNUG HARBOR RD 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.527 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,
RICHMOND TER/NICHOLAS ST,,,,,,,,,,,,,0.826 ST GEORGE FERRY via RICHMOND TERR,,,,,,,0.36 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOREST AV/LILAC CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/SOUTH AV,0.16 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOETHALS RD N/ADMIN PARKING LOT,,,,,3.452 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/MORNINGSTAR RD,,,,0.272 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,0.135 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/VAN PELT AV,,,,,,,,,,,,,,,,0.386 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/RECTOR ST,,,,,,,,,0.139 ST GEORGE FERRY via RICHMOND TERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/SAILORS S H GATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 MATRIX PT RICH TERR via GULF AV ARLNGTON,,,,0.299 ST GEORGE FERRY via RICHMOND TERR,,
