route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
BX30,GH_A2-Saturday,GH_A2-Saturday-122100_BX238_638,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-128200_BX238_638,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-134100_BX238_638,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-140200_BX238_638,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-074100_BX30_556,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-082000_BX30_556,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-087600_BX30_554,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-095500_BX238_619,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-101100_BX30_570,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-108700_BX30_570,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-080100_BX26_504,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-088000_BX26_504,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-094200_BX30_573,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-102400_BX30_573,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-107100_BX30_558,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-114700_BX30_558,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-120100_BX30_574,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-126200_BX30_574,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-132100_BX30_574,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-138200_BX30_574,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-040600_BX30_552,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-047900_BX30_554,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-048100_BX30_553,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-053900_BX30_553,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-063900_BX30_552,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-071500_BX238_606,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-069000_BX30_569,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-077500_BX30_551,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-093000_BX30_575,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-101200_BX30_575,CO-OP CITY EARHART LANE,0,BX300133
BX30,GH_A2-Saturday,GH_A2-Saturday-125100_BX30_575,NORWOOD 205 ST STATION,1,BX300132
BX30,GH_A2-Saturday,GH_A2-Saturday-133200_BX26_518,CO-OP CITY EARHART LANE,0,BX300133
BX39,GH_A2-Saturday,GH_A2-Saturday-030000_BX39_750,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-033000_BX39_751,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-036000_BX39_752,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-038500_BX39_753,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-040500_BX39_755,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-042100_BX39_750,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-043600_BX39_751,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-045100_BX39_757,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-046600_BX39_754,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-047800_BX39_758,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-049000_BX39_752,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-050200_BX39_753,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-051400_BX39_756,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-052600_BX39_755,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-092400_BX39_759,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390010
BX39,GH_A2-Saturday,GH_A2-Saturday-053800_BX39_765,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-055000_BX39_766,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-056200_BX39_759,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-057400_BX39_764,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-058600_BX39_751,CLASON PT,1,BX390176
BX39,GH_A2-Saturday,GH_A2-Saturday-093600_BX39_784,WAKEFIELD 241 ST via WHITE PLS RD,0,BX390010
